,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
230,The_break-up(2006),0.0684,0.1263,0.3816,0.0794,0.0263,0.1047,0.1442,0.2323,0.1144,0.0395,6801.0,0.0091,1.5,A2
231,The_cabin_in_the_woods(2012),0.0889,0.1461,0.299,0.0762,0.0359,0.1056,0.1602,0.2245,0.1048,0.0502,2676.0,0.0131,2.5,A2
232,The_Devil_Wears_Prad,0.0628,0.132,0.3682,0.0804,0.0306,0.0905,0.1318,0.2253,0.0953,0.0383,4840.0,0.0105,2.1,B2
233,The_fault_in_our_stars(2014),0.0745,0.1399,0.347,0.0812,0.0398,0.1106,0.1579,0.2188,0.1007,0.0541,5196.0,0.0071,1.9,A2
234,The_Fundamentals_of_Caring(2016),0.068,0.1139,0.3837,0.0661,0.0288,0.1075,0.1629,0.2678,0.0893,0.0303,3573.0,0.0076,1.9,B1
235,The_Ghost_Writer,0.0706,0.1472,0.3972,0.0757,0.0419,0.0945,0.1714,0.2349,0.1171,0.051,3912.0,0.0003,1.8,
236,The_graduate(1967),0.0544,0.1504,0.3986,0.0707,0.0474,0.0978,0.1674,0.3011,0.1135,0.0393,3565.0,0.0045,1.5,B1
237,The_greatest_showman(2017),0.072,0.1454,0.3592,0.0707,0.031,0.1113,0.1506,0.2301,0.0916,0.0363,4513.0,0.0091,1.7,A2
238,The_hangover(2009),0.0567,0.1388,0.3208,0.0564,0.0281,0.0907,0.1451,0.2136,0.0907,0.0426,6736.0,0.0114,1.4,B2
239,The_holiday(2006),0.0737,0.1439,0.3946,0.0803,0.0305,0.1089,0.1486,0.236,0.1115,0.0391,5254.0,0.0086,1.8,B1
240,The_Intern(2015),0.0677,0.1301,0.392,0.0743,0.0257,0.0975,0.1555,0.224,0.0964,0.0334,7041.0,0.0078,1.5,B2
241,The_invisible_man(2020),0.0732,0.15,0.3644,0.0786,0.0247,0.0985,0.1732,0.2906,0.0996,0.0391,2187.0,0.0082,2.2,A2
242,The_jungle_book(2016),0.066,0.1249,0.2965,0.0703,0.0269,0.0989,0.1513,0.2221,0.0844,0.033,3498.0,0.0192,1.7,A2
243,The_kings_speech(2010),0.0801,0.1467,0.2831,0.0739,0.0409,0.1023,0.1221,0.1794,0.0816,0.0504,4642.0,0.0125,2.9,B2
244,The_Legend_of_Tarzan(2016),0.0758,0.1413,0.2382,0.0762,0.0272,0.1024,0.1536,0.2049,0.0916,0.0377,2427.0,0.0255,2.7,C1
